Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Sika Koné,MIN,F,17,57,17,0,57,7,17,0.412,0,0,,7,17,0.412,7,9,0.778,7,12,1,2,0,5,5,21
Marina Mabrey,CHI,G,24,796,24,24,796,123,323,0.381,56,160,0.35,67,163,0.411,34,47,0.723,17,118,109,29,7,67,64,336
Odyssey Sims,DAL,G,9,305,9,7,305,61,114,0.535,16,32,0.5,45,82,0.549,17,26,0.654,11,26,50,15,4,16,15,155
Sug Sutton,PHO,G,22,328,22,0,328,22,72,0.306,10,37,0.27,12,35,0.343,9,13,0.692,6,24,52,14,1,29,25,63
Celeste Taylor,IND,G,5,16,5,0,16,1,1,1,0,0,,1,1,1,1,2,0.5,0,1,1,0,1,1,1,3
Queen Egbo,LAS,F-C,2,4,2,0,4,1,1,1,0,0,,1,1,1,0,0,,1,3,0,1,0,0,1,2
Queen Egbo,LVA,F-C,3,18,3,0,18,4,6,0.667,0,0,,4,6,0.667,0,0,,1,5,0,2,1,0,2,8
Morgan Bertsch,DAL,F,3,22,3,0,22,0,3,0,0,1,0,0,2,0,1,2,0.5,1,5,0,1,0,4,4,1
Moriah Jefferson,CHI,G,14,124,14,0,124,3,26,0.115,1,10,0.1,2,16,0.125,5,6,0.833,3,7,24,2,0,6,9,12
Odyssey Sims,LAS,G,15,395,15,10,395,56,128,0.438,4,26,0.154,52,102,0.51,31,37,0.838,6,25,77,13,1,36,21,147
Celeste Taylor,CON,G,2,11,2,0,11,1,1,1,0,0,,1,1,1,0,0,,0,0,0,0,0,0,4,2
Celeste Taylor,PHO,G,15,300,15,4,300,19,60,0.317,6,30,0.2,13,30,0.433,9,16,0.563,6,27,27,15,9,21,17,53
Crystal Dangerfield,LAS,G,18,230,18,5,230,22,77,0.286,12,39,0.308,10,38,0.263,4,6,0.667,1,18,36,7,3,17,12,60
Sika Koné,WAS,F,10,160,10,0,160,29,67,0.433,4,7,0.571,25,60,0.417,24,27,0.889,7,43,11,4,2,9,20,86
Rachel Banham,CHI,G,16,316,16,9,316,37,107,0.346,29,76,0.382,8,31,0.258,7,10,0.7,4,28,26,6,2,9,27,110
Sug Sutton,WAS,G,7,51,7,0,51,2,7,0.286,0,4,0,2,3,0.667,0,0,,0,4,10,2,0,5,1,4
Monique Billings,PHO,F,13,235,13,2,235,23,53,0.434,2,7,0.286,21,46,0.457,16,20,0.8,20,54,7,12,6,14,25,64
Marina Mabrey,CON,G,16,439,16,3,439,91,195,0.467,42,99,0.424,49,96,0.51,15,22,0.682,5,56,53,16,10,27,40,239
Myisha Hines-Allen,MIN,F,13,230,13,1,230,34,68,0.5,4,11,0.364,30,57,0.526,26,31,0.839,15,55,29,11,2,17,30,98
